NIS,NAAM,INWONERS
35000,Arrondissement Oostende,158153
35002,Bredene,18086
35005,Gistel,12107
35006,Ichtegem,14068
35011,Middelkerke,19676
35013,Oostende,71755
35014,Oudenburg,9672
35029,De Haan,12789
36000,Arrondissement Roeselare,155015
36006,Hooglede,9925
36007,Ingelmunster,11189
36008,Izegem,28554
36010,Ledegem,9715
36011,Lichtervelde,8962
36012,Moorslede,11445
36015,Roeselare,63763
36019,Staden,11462
37000,Arrondissement Tielt,93726
37002,Dentergem,8644
37007,Meulebeke,10885
37010,Oostrozebeke,7943
37011,Pittem,6784
37012,Ruiselede,5379
37015,Tielt (Tielt),20390
37017,Wielsbeke,9851
37018,Wingene,14699
37020,Ardooie,9151
38000,Arrondissement Veurne,61947
38002,Alveringem,5024
38008,De Panne,11232
38014,Koksijde,21852
38016,Nieuwpoort,11667
38025,Veurne,12172
40000,Provincie Oost-Vlaanderen,1531745
41000,Arrondissement Aalst,296014
41002,Aalst (Aalst),87978
41011,Denderleeuw,20730
41018,Geraardsbergen,33970
41024,Haaltert,18892
41027,Herzele,18414
41034,Lede,18980
41048,Ninove,39369
41063,Sint-Lievens-Houtem,10474
41081,Zottegem,26921
41082,Erpe-Mere,20286
42000,Arrondissement Dendermonde,202978
42003,Berlare,15222
42004,Buggenhout,14689
42006,Dendermonde,46015
42008,Hamme (Dendermonde),24980
42010,Laarne,12371
42011,Lebbeke,19560
42023,Waasmunster,10912
42025,Wetteren,26206
42026,Wichelen,11690
42028,Zele,21333
43000,Arrondissement Eeklo,86583
43002,Assenede,14369
43005,Eeklo,21549
43007,Kaprijke,6508
43010,Maldegem,24114
43014,Sint-Laureins,6919
43018,Zelzate,13124
44000,Arrondissement Gent,565061
44012,De Pinte,10990
44013,Destelbergen,18683
44019,Evergem,35791
44020,Gavere,13007
44021,Gent,263703
44034,Lochristi,22621
44040,Melle,11782
44043,Merelbeke,24779
44045,Moerbeke (Gent),6619
44048,Nazareth,11844
44052,Oosterzele,13740
44064,Sint-Martens-Latem,8285
44073,Wachtebeke,7769
44081,Zulte,15843
44083,Deinze,43922
44084,Aalter,29242
44085,Lievegem,26441
45000,Arrondissement Oudenaarde,125020
45035,Oudenaarde,31650
45041,Ronse,26510
45059,Brakel,14762
45060,Kluisbergen,6682
45061,Wortegem-Petegem,6445
45062,Horebeke,2009
45063,Lierde,6626
45064,Maarkedal,6362
45065,Zwalm,8224
45068,Kruisem,15750
46000,Arrondissement Sint-Niklaas,256089
46003,Beveren (Sint-Niklaas),49062
46013,Kruibeke,16785
46014,Lokeren,42145
46020,Sint-Gillis-Waas,19590
46021,Sint-Niklaas (Sint-Niklaas),79357
46024,Stekene,18863
46025,Temse,30287
50000,Provincie Henegouwen,1345947
51000,Arrondissement Aat,128610
51004,Aat,29571
51008,Beloeil,14074
51009,Bernissart,11804
51012,Brugelette,3692
51014,Chièvres,6942
51017,Elzele,6004
51019,Vloesberg,3435
51065,Frasnes-lez-Anvaing,11874
51067,Edingen,14155
51068,Opzullik,8377
51069,Lessen,18682
52000,Arrondissement Charleroi,395832
52010,Chapelle-lez-Herlaimont,14735
52011,Charleroi,201837
52012,Châtelet,35567
52015,Courcelles,31053
52018,Farciennes,11251
52021,Fleurus,22975
52022,Fontaine-l’Evêque,17959
52025,Gerpinnes,12735
52048,Montigny-le-Tilleul,10130
52055,Pont-à-Celles,17337
52074,Aiseau-Presles,10790
52075,Les Bons Villers,9463
53000,Arrondissement Bergen,259007
53014,Boussu,19842
53020,Dour,16528
53028,Frameries,21745
53039,Hensies,6838
53044,Jurbeke,10655
53046,Lens,4629
53053,Bergen,95705
53065,Quaregnon,18940
53068,Quiévrain,6778
53070,Saint-Ghislain,23451
53082,Colfontaine,20693
53083,Honnelles,5130
53084,Quévy,8073
55000,Arrondissement Zinnik,105662
55004,’s Gravenbrakel,22290
55035,Le Roeulx,8804
55040,Zinnik,28311
55050,Ecaussinnes,11303
55085,Seneffe,11407
55086,Manage,23547
56000,Arrondissement Thuin,91859
56001,Anderlues,12429
56005,Beaumont,7120
56016,Chimay,9647
56022,Erquelinnes,10013
56029,Froidchapelle,4011
56044,Lobbes,5861
56049,Merbes-le-Château,4228
56051,Momignies,5310
56078,Thuin,14787
56086,Ham-sur-Heure-Nalinnes,13655
56088,Sivry-Rance,4798
57000,Arrondissement Doornik-Moeskroen,223620
57003,Antoing,7638
57018,Celles (Doornik),5612
57027,Estaimpuis,10546
57062,Pecq,5829
57064,Péruwelz,17178
57072,Rumes,5246
57081,Doornik,68795
57093,Brunehaut,8074
57094,Leuze-en-Hainaut,13959
57095,Mont-de-l’Enclus,3791
57096,Moeskroen,58862
57097,Komen-Waasten,18090
58000,Arrondissement La Louvière,141357
58001,La Louvière,80944
58002,Binche,33416
58003,Estinnes,7835
58004,Morlanwelz,19162
60000,Provincie Luik,1109067
61000,Arrondissement Hoei,114293
61003,Amay,14368
61010,Burdinne,3300
61012,Clavier,4736
61019,Ferrières,5023
61024,Hamoir,3860
61028,Héron,5542
61031,Hoei,21392
61039,Marchin,5501
61041,Modave,4220
61043,Nandrin,5774
61048,Ouffet,2801
61063,Verlaine,4246
61068,Villers-Le-Bouillet,6592
61072,Wanze,13813
61079,Anthisnes,4198
61080,Engis,6207
61081,Tinlot,2720
62000,Arrondissement Luik,624474
62003,Ans,28503
62006,Awans,9207
62009,Aywaille,12607
62011,Bitsingen,8942
62015,Beyne-Heusay,11962
62022,Chaudfontaine,20807
62026,Comblain-au-Pont,5375
62027,Dalhem,7601
62032,Esneux,13018
62038,Fléron,16214
62051,Herstal,40157
62060,Juprelle,9463
62063,Luik,196296
62079,Oupeye,25376
62093,Saint-Nicolas (Luik),24268
62096,Seraing,63787
62099,Soumagne,17200
62100,Sprimont,14932
62108,Wezet,17865
62118,Grâce-Hollogne,22860
62119,Blegny,13382
62120,Flémalle,26402
62121,Neupré,9938
62122,Trooz,8312
63000,Arrondissement Verviers,288011
63001,Amel,5523
63003,Aubel,4276
63004,Baelen,4436
63012,Büllingen,5455
63013,Bütgenbach,5604
63020,Dison,15131
63023,Eupen,19900
63035,Herve,17473
63038,Jalhay,8679
63040,Kelmis,11086
63045,Lierneux,3564
63046,Limburg,5867
63048,Lontzen,5885
63049,Malmedy,12778
63057,Olne,4051
63058,Pepinster,9615
63061,Raeren,10889
63067,Sankt Vith,9853
63072,Spa,10122
63073,Stavelot,7195
63075,Stoumont,3174
63076,Theux,12011
63079,Verviers,55159
63080,Weismes,7417
63084,Welkenraedt,10175
63086,Trois-Ponts,2555
63087,Burg-Reuland,3949
63088,Plombières,10547
63089,Thimister-Clermont,5642
