NAAM,TYPE_NAAM,GELD_START,LON,LAT,GEMEENTE
Pastorie Sint-Trudoparochie met omgeving,Beschermd stads- of dorpsgezicht,1985/08/19,5.024,50.771,Landen
Tumulus Bortombe met omgeving,Beschermd stads- of dorpsgezicht,1979/08/21,5.101,50.741,Landen
Domein Gitterdal,Beschermd cultuurhistorisch landschap,1978/04/19,5.064,50.748,Landen
Heilige Kruiskapel met omgeving,Beschermd stads- of dorpsgezicht,1982/10/27,5.050,50.772,Landen
Dorpskern Neerlanden,Beschermd stads- of dorpsgezicht,1994/05/24,5.079,50.779,Landen
Watermolen Rufferdingemolen met omgeving,Beschermd stads- of dorpsgezicht,1996/03/19,5.085,50.752,Landen
Sint-Petrushoeve en gesloten hoeve met omgeving,Beschermd cultuurhistorisch landschap,1976/09/17,5.091,50.768,Landen
Watermolen Pitsaermolen en parochiekerk Sint-Gillis: omgeving,Beschermd stads- of dorpsgezicht,1999/02/04,5.078,50.769,Landen
Gesloten hoeve: omgeving,Beschermd cultuurhistorisch landschap,1976/06/11,5.099,50.723,Landen
Gesloten hoeven: omgeving,Beschermd cultuurhistorisch landschap,1976/10/15,5.089,50.720,Landen
Hoeve Janshoven: omgeving,Beschermd cultuurhistorisch landschap,1976/10/15,5.094,50.733,Landen
Station Racour met omgeving,Beschermd stads- of dorpsgezicht,2002/02/19,5.047,50.737,Landen
Watermolen Koningsmolen: omgeving,Beschermd stads- of dorpsgezicht,1999/06/10,5.013,50.781,Landen
Parochiekerk Sint-Pietersbanden en pastorie met omgeving,Beschermd stads- of dorpsgezicht,2014/03/14,5.089,50.767,Landen
Tumulus van Middelwinden,Beschermd cultuurhistorisch landschap,1933/12/30,5.043,50.762,Landen
Motte van Rumsdorp met omgeving,Beschermd stads- of dorpsgezicht,1979/03/13,5.076,50.768,Landen
Holle weg Longa,Beschermd cultuurhistorisch landschap,1982/07/01,4.988,50.769,Landen
Tumulus Waasmontse Tom met omgeving,Beschermd stads- of dorpsgezicht,1979/03/28,5.049,50.732,Landen
Herkenrodehoeve: omgeving,Beschermd cultuurhistorisch landschap,1976/10/14,5.297,50.737,Heers
Pastorie Sint-Stephanusparochie en omgeving,Beschermd stads- of dorpsgezicht,1981/02/02,5.281,50.738,Heers
Grotten van Henisdael,Beschermd cultuurhistorisch landschap,1985/09/30,5.384,50.752,Heers
Parochiekerk Onze-Lieve-Vrouw Ten Hemelopneming: kerkhof,Beschermd stads- of dorpsgezicht,1999/03/09,5.305,50.763,Heers
Hoeve de Naveau: agrarische omgeving,Beschermd stads- of dorpsgezicht,2005/02/03,5.297,50.734,Heers
"Parochiekerk Sint-Martinus, pastorie en kasteel en omgeving",Beschermd stads- of dorpsgezicht,1981/07/03,5.302,50.758,Heers
Hoeve Goed van Gothem en omgeving,Beschermd stads- of dorpsgezicht,1986/08/01,5.335,50.753,Heers
Gesloten hoeve met herenboerentuin en hekwerk: omgeving,Beschermd stads- of dorpsgezicht,2005/02/03,5.256,50.727,Heers
Parochiekerk Onze-Lieve-Vrouw-ten-Hemelopneming en pastorie: beeldondersteunende omgeving,Beschermd stads- of dorpsgezicht,2005/07/13,5.358,50.769,Heers
Kasteel van Heks en omgeving,Beschermd cultuurhistorisch landschap,1948/05/31,5.365,50.774,Heers
Kasteel van Heks: agrarische omgeving van het kasteeldomein en aanhankelijkheden,Beschermd stads- of dorpsgezicht,2005/07/13,5.365,50.768,Heers
Kasteel van Veulen: omgeving,Beschermd cultuurhistorisch landschap,1960/06/23,5.301,50.764,Heers
Klooster en school van de Soeurs de Marie,Beschermd stads- of dorpsgezicht,2005/07/13,5.256,50.738,Heers
Landelijke buffer tussen kasteel en dorp,Beschermd stads- of dorpsgezicht,2005/07/13,5.251,50.737,Heers
Hoeve Monnikenhof: omgeving,Beschermd stads- of dorpsgezicht,2005/07/13,5.376,50.773,Heers
Gesloten hoeve en U-vormige hoeve: omgeving,Beschermd stads- of dorpsgezicht,2005/07/13,5.307,50.763,Heers
Tumulus Graf van Gutshoven met omgeving,Beschermd stads- of dorpsgezicht,1981/07/24,5.332,50.770,Heers
Gesloten hoeve Manshovenhof: omgeving,Beschermd stads- of dorpsgezicht,2005/07/08,5.355,50.779,Heers
Klein-Gelmen: agrarische context,Beschermd stads- of dorpsgezicht,2005/07/13,5.276,50.769,Heers
Dorpskern van Batsheers,Beschermd stads- of dorpsgezicht,2006/01/25,5.282,50.737,Heers
Gehucht Sint-Pieters-Heurne,Beschermd stads- of dorpsgezicht,2005/07/12,5.367,50.759,Heers
Kasteelhoeve en -site de Montferrant: omgeving,Beschermd stads- of dorpsgezicht,2005/07/13,5.279,50.743,Heers
Dorpskern Gutschoven,Beschermd stads- of dorpsgezicht,2005/07/13,5.317,50.772,Heers
Tumulus met omgeving,Beschermd stads- of dorpsgezicht,2014/12/19,5.354,50.757,Heers
Hoeve Den Hof met omgeving,Beschermd stads- of dorpsgezicht,2000/06/16,5.815,50.749,Voeren
Martelberg-Graftengebied,Beschermd cultuurhistorisch landschap,1990/07/02,5.821,50.756,Voeren
Kruisgraef,Beschermd cultuurhistorisch landschap,1985/07/03,5.748,50.767,Voeren
Hoeve Blancktyshof: resterende gebouwen hoevecomplex,Beschermd stads- of dorpsgezicht,2001/11/20,5.763,50.759,Voeren
Gesloten hoeve: 19de-eeuws volume en inrijpoort,Beschermd stads- of dorpsgezicht,2001/11/20,5.763,50.759,Voeren
Vakwerkschuur: omgeving,Beschermd stads- of dorpsgezicht,2001/11/20,5.845,50.765,Voeren
Hoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2001/11/20,5.882,50.732,Voeren
Hoeve met losse bestanddelen en gedenkteken: omgeving,Beschermd stads- of dorpsgezicht,2001/11/20,5.891,50.720,Voeren
Pastorie Sint-Pieters-Stoelparochie: pastorietuin,Beschermd stads- of dorpsgezicht,2002/06/14,5.825,50.738,Voeren
Parochiekerk Sint-Martinus met omgeving,Beschermd stads- of dorpsgezicht,1984/04/11,5.812,50.749,Voeren
Dorpskern Teuven,Beschermd stads- of dorpsgezicht,2003/05/28,5.875,50.752,Voeren
Altenbroek en Voervallei met omgeving,Beschermd cultuurhistorisch landschap,2017/12/21,5.782,50.763,Voeren
Hoeve Kloosterhof: omgeving,Beschermd stads- of dorpsgezicht,2003/05/28,5.875,50.747,Voeren
Hoeve: omgeving,Beschermd stads- of dorpsgezicht,2003/05/28,5.862,50.758,Voeren
Kinkenberg,Beschermd cultuurhistorisch landschap,1960/11/30,5.763,50.759,Voeren
Dorpskern 's-Gravenvoeren,Beschermd stads- of dorpsgezicht,2014/12/15,5.762,50.758,Voeren
Hoeve met losse bestanddelen en omgeving,Beschermd stads- of dorpsgezicht,2014/12/19,5.850,50.736,Voeren
Gulpvallei met omgeving,Beschermd cultuurhistorisch landschap,2017/12/21,5.887,50.751,Voeren
Hoogbos,Beschermd cultuurhistorisch landschap,1985/07/22,5.772,50.776,Voeren
"Drie Tommen, Twee Tommen en Avernassetom met omgeving",Beschermd stads- of dorpsgezicht,1979/03/13,5.159,50.711,Gingelom
"Hoeve van Nerem, watermolen en Onze-Lieve-Vrouwkapel",Beschermd stads- of dorpsgezicht,1987/01/16,5.143,50.730,Gingelom
Hof te Schiebeek met omgeving,Beschermd stads- of dorpsgezicht,1981/10/23,4.026,50.739,Herne
Site van het Kartuizerklooster Onze-Lieve-Vrouw-Kapelle: omgeving,Beschermd stads- of dorpsgezicht,2003/01/20,4.036,50.732,Herne
Parochiekerk Sint-Pieter met omgeving,Beschermd stads- of dorpsgezicht,1980/01/04,3.992,50.708,Herne
Kasteelhoeve: omgeving,Beschermd cultuurhistorisch landschap,1977/02/04,3.382,50.738,Spiere-Helkijn
Kasteeldomein van Spiere,Beschermd cultuurhistorisch landschap,1971/09/08,3.352,50.724,Spiere-Helkijn
Hoeve Weverbergh: omgeving,Beschermd stads- of dorpsgezicht,2007/04/05,3.945,50.713,Bever
Linde,Beschermd cultuurhistorisch landschap,1940/03/08,4.804,51.474,Hoogstraten
Parochiekerk Sint-Jan Baptist met kerkhof,Beschermd cultuurhistorisch landschap,1950/06/03,4.794,51.398,Hoogstraten
Parochiekerk Onze-Lieve-Vrouw Bezoeking en omgeving,Beschermd cultuurhistorisch landschap,1975/05/27,4.736,51.443,Hoogstraten
Meerseldreef,Beschermd cultuurhistorisch landschap,1953/04/13,4.775,51.496,Hoogstraten
Gekandelaarde lindendreef Vrijheid,Beschermd cultuurhistorisch landschap,1955/04/19,4.761,51.400,Hoogstraten
Rijksweldadigheidskolonie Wortel,Beschermd cultuurhistorisch landschap,1999/06/29,4.824,51.402,Hoogstraten
Dorpskom Meerle,Beschermd stads- of dorpsgezicht,1981/09/03,4.806,51.474,Hoogstraten
Turbinewatermolen met omgeving,Beschermd stads- of dorpsgezicht,1993/01/19,4.773,51.488,Hoogstraten
Parochiekerk Sint-Jan Baptist: omgeving,Beschermd cultuurhistorisch landschap,1975/07/07,4.794,51.398,Hoogstraten
Begijnhof van Hoogstraten,Beschermd cultuurhistorisch landschap,1971/05/27,4.764,51.403,Hoogstraten
Windmolen Salm-Salmmolen en omgeving,Beschermd cultuurhistorisch landschap,1973/01/05,4.765,51.410,Hoogstraten
Pastorie 't Withof: gronden binnen omwalling,Beschermd cultuurhistorisch landschap,1976/10/15,4.769,51.412,Hoogstraten
Pastorie Sint-Valentinusparochie en omgeving,Beschermd cultuurhistorisch landschap,1975/03/19,5.040,51.448,Ravels
Windmolen De Nachtegaal der Maatvennen: omgeving,Beschermd cultuurhistorisch landschap,1976/08/10,5.000,51.373,Ravels
Het Kijkverdriet,Beschermd cultuurhistorisch landschap,1985/07/03,5.027,51.361,Ravels
Oude Pastorie: omgeving,Beschermd cultuurhistorisch landschap,1976/08/10,4.473,51.466,Essen
De Maatjes (Den Helder),Beschermd cultuurhistorisch landschap,1976/01/06,4.532,51.430,Kalmthout
Kalmthoutse Heide,Beschermd cultuurhistorisch landschap,1984/07/04,4.430,51.400,Kalmthout
Kassemse eik,Beschermd cultuurhistorisch landschap,1944/02/02,4.471,51.388,Kalmthout
Erfgoedlandschap Domein Franciscanessenklooster,Erfgoedlandschap,2012/03/05,4.560,51.359,Wuustwezel
Dorpskern Wuustwezel,Beschermd stads- of dorpsgezicht,1993/02/01,4.599,51.389,Wuustwezel
Parochiekerk Sint-Petrus en Sint-Paulus: kerkhof,Beschermd cultuurhistorisch landschap,1976/06/11,4.644,51.399,Wuustwezel
Dorpskern Loenhout,Beschermd stads- of dorpsgezicht,1979/03/13,4.641,51.402,Wuustwezel
Hoeve Nuytemans met omgeving,Beschermd stads- of dorpsgezicht,1978/02/21,4.604,51.404,Wuustwezel
Vloeikenshoeve met omgeving,Beschermd stads- of dorpsgezicht,1978/03/01,4.614,51.387,Wuustwezel
Rijksweldadigheidskolonie Merksplas,Beschermd cultuurhistorisch landschap,1999/06/29,4.829,51.356,Merksplas
Hoeve Groote Hoef en omgeving,Beschermd stads- of dorpsgezicht,1993/04/22,4.888,51.353,Merksplas
Zwartwater,Beschermd cultuurhistorisch landschap,1980/09/09,4.933,51.370,Turnhout
Filipkensvijver,Beschermd cultuurhistorisch landschap,1984/06/26,4.909,51.326,Turnhout
Begijnhof,Beschermd cultuurhistorisch landschap,1962/12/05,4.944,51.327,Turnhout
Hoeve Groenhuis met omgeving,Beschermd stads- of dorpsgezicht,1980/09/18,4.955,51.326,Turnhout
Afspanning De Nieuwen Buiten met omgeving,Beschermd stads- of dorpsgezicht,1981/06/11,4.934,51.321,Turnhout
Hoeve Gasthuishoeve met omgeving,Beschermd cultuurhistorisch landschap,1974/12/20,4.934,51.337,Turnhout
Garenblekerij Boones Blijk met omgeving,Beschermd cultuurhistorisch landschap,1974/12/20,4.937,51.338,Turnhout
Apenbomen bij gemeentehuis van Rijkevorsel,Beschermd cultuurhistorisch landschap,1939/02/20,4.759,51.350,Rijkevorsel
Erfgoedlandschap Brechtse Heide,Erfgoedlandschap,2011/06/08,4.670,51.321,Brecht
Erfgoedlandschap De Merel,Erfgoedlandschap,2013/12/06,4.604,51.318,Brecht
Onze-Lieve-Vrouw van Zeven Weeënkapel met omgeving,Beschermd stads- of dorpsgezicht,1986/06/03,4.663,51.353,Brecht
Hoeven en kapel met omgeving,Beschermd stads- of dorpsgezicht,1986/06/03,4.626,51.328,Brecht
Waterhoeve met omgeving,Beschermd cultuurhistorisch landschap,1973/01/05,4.647,51.351,Brecht
Brechtse Heide,Beschermd cultuurhistorisch landschap,1977/05/27,4.626,51.307,Brecht
Stenen windmolen: omgeving,Beschermd cultuurhistorisch landschap,1977/05/24,4.636,51.347,Brecht
Koraalplaats,Beschermd stads- of dorpsgezicht,1978/06/16,4.458,51.220,Antwerpen
Den Spieghel,Beschermd cultuurhistorisch landschap,1976/02/24,4.400,51.222,Antwerpen
Vlaaikensgang: gevels en bedakingen,Beschermd cultuurhistorisch landschap,1973/01/05,4.399,51.220,Antwerpen
Stadswoning met omgeving,Beschermd stads- of dorpsgezicht,1979/06/26,4.404,51.224,Antwerpen
Stadswaag,Beschermd stads- of dorpsgezicht,1986/06/18,4.407,51.224,Antwerpen
Koninklijke Academie voor Schone Kunsten: tuin,Beschermd cultuurhistorisch landschap,1974/04/12,4.406,51.223,Antwerpen
Begijnhof,Beschermd cultuurhistorisch landschap,1975/02/24,4.414,51.222,Antwerpen
Neoclassicistisch burgerhuis en 16de-eeuws hofje,Beschermd stads- of dorpsgezicht,1984/07/10,4.414,51.221,Antwerpen
Pastorie Sint-Bartholomeusparochie: omgeving,Beschermd cultuurhistorisch landschap,1975/11/10,4.440,51.241,Antwerpen
Hertoghepark,Beschermd cultuurhistorisch landschap,1974/02/21,4.407,51.195,Antwerpen
Sint-Stanislascollege: scholencomplex,Beschermd stads- of dorpsgezicht,2004/06/11,4.417,51.196,Antwerpen
Kardinaal Mercierlei met omgeving,Beschermd stads- of dorpsgezicht,1994/03/04,4.414,51.197,Antwerpen
Watertorens met omgeving,Beschermd stads- of dorpsgezicht,1985/11/25,4.436,51.227,Antwerpen
Herberg De Exter: omgeving,Beschermd cultuurhistorisch landschap,1976/06/11,4.465,51.201,Antwerpen
Unitas Tuinwijk,Beschermd stads- of dorpsgezicht,1982/10/27,4.466,51.198,Antwerpen
Het Vliet,Beschermd cultuurhistorisch landschap,1980/01/31,4.346,51.225,Antwerpen
Blokkersdijk,Beschermd cultuurhistorisch landschap,1980/05/12,4.350,51.233,Antwerpen
Het Rot,Beschermd cultuurhistorisch landschap,1987/03/30,4.361,51.224,Antwerpen
Lillo-fort met veer en getijdehaven,Beschermd stads- of dorpsgezicht,1981/04/15,4.289,51.305,Antwerpen
Sterckshof: kasteel en omgrachting,Beschermd stads- of dorpsgezicht,1994/02/17,4.462,51.215,Antwerpen
Windmolen Westmolengeest met omgeving,Beschermd stads- of dorpsgezicht,1981/11/06,4.312,51.351,Antwerpen
Victor Jacobslei,Beschermd stads- of dorpsgezicht,1992/10/23,4.425,51.199,Antwerpen
Hof ter Beke met omgeving,Beschermd stads- of dorpsgezicht,1982/12/15,4.379,51.152,Antwerpen
Kasteeldomein Bouckenborgh,Beschermd cultuurhistorisch landschap,1976/06/16,4.453,51.245,Antwerpen
Eclectisch ensemble ontworpen door G. Van Oenen,Beschermd stads- of dorpsgezicht,1994/03/03,4.394,51.210,Antwerpen
Deel Plantin en Moretuslei met omgeving,Beschermd stads- of dorpsgezicht,1994/09/01,4.424,51.211,Antwerpen
Domein Kasteel Klaverblad,Beschermd stads- of dorpsgezicht,1994/09/16,4.361,51.154,Antwerpen
Domein Schoonselhof met oranjerie en omgeving,Beschermd cultuurhistorisch landschap,1942/12/30,4.369,51.165,Antwerpen
Kasteeldomein Middelheim: park met ringgrachten en aanhorigheden,Beschermd cultuurhistorisch landschap,1976/07/09,4.413,51.180,Antwerpen
Huizenrij Beeldhouwersstraat,Beschermd stads- of dorpsgezicht,1994/03/03,4.394,51.208,Antwerpen
Directeurswoning haringrokerij: tuin,Beschermd stads- of dorpsgezicht,1987/01/16,4.396,51.212,Antwerpen
Nachtegalenpark,Beschermd cultuurhistorisch landschap,2005/02/01,4.410,51.184,Antwerpen
Huizenrijen Vlaamsekaai,Beschermd stads- of dorpsgezicht,1994/03/03,4.392,51.211,Antwerpen
Herentalse Vaart met brug,Beschermd cultuurhistorisch landschap,1982/06/30,4.476,51.212,Antwerpen
Kasteel Sorghvliedt met park,Beschermd cultuurhistorisch landschap,1968/09/17,4.353,51.169,Antwerpen
Godshuis Sint-Barbara met binnenpleintje,Beschermd stads- of dorpsgezicht,1980/01/10,4.411,51.219,Antwerpen
Burgerhuizen met omgeving,Beschermd stads- of dorpsgezicht,1979/02/14,4.402,51.215,Antwerpen
Godshuis Maesgang,Beschermd stads- of dorpsgezicht,1991/11/18,4.398,51.217,Antwerpen
"Site Vlaamse Opera, schermenmagazijn en hotel Wagner",Beschermd stads- of dorpsgezicht,2017/06/16,4.417,51.219,Antwerpen
Het Torenhof met park,Beschermd cultuurhistorisch landschap,1976/05/13,4.401,51.199,Antwerpen
Kasteeldomein Hof van Veltwijck,Beschermd cultuurhistorisch landschap,1949/02/18,4.425,51.276,Antwerpen
Kasteeldomein Hof van Veltwijck: uitbreiding,Beschermd cultuurhistorisch landschap,1992/07/01,4.425,51.278,Antwerpen
Parochiekerk Sint-Fredegandus: kerkhof,Beschermd cultuurhistorisch landschap,1976/10/14,4.455,51.221,Antwerpen
Unitas Tuinwijk: uitbreiding,Beschermd stads- of dorpsgezicht,2002/09/06,4.464,51.195,Antwerpen
Unitas Tuinwijk: uitbreiding,Beschermd stads- of dorpsgezicht,2002/09/06,4.464,51.195,Antwerpen
Zurenborg: deel Berchem,Beschermd stads- of dorpsgezicht,1980/01/10,4.433,51.203,Antwerpen
Bouwblok met pakhuizen,Beschermd stads- of dorpsgezicht,1994/03/03,4.407,51.228,Antwerpen
De Marbaixstraat,Beschermd stads- of dorpsgezicht,2003/12/04,4.437,51.228,Antwerpen
Kasteel Runcvoort met omgeving,Beschermd stads- of dorpsgezicht,1984/07/10,4.441,51.248,Antwerpen
Hoeve Royenborg met omgeving,Beschermd stads- of dorpsgezicht,1984/07/10,4.454,51.257,Antwerpen
Leopold De Waelstraat en Lambermontplaats,Beschermd stads- of dorpsgezicht,1994/03/03,4.391,51.207,Antwerpen
Watertorens station Antwerpen-Oost met omgeving,Beschermd stads- of dorpsgezicht,1985/01/21,4.434,51.206,Antwerpen
Den Donckeren Nacht,Beschermd stads- of dorpsgezicht,1978/01/13,4.397,51.216,Antwerpen
Het Vosken,Beschermd stads- of dorpsgezicht,1978/01/13,4.397,51.216,Antwerpen
Huis B,Beschermd stads- of dorpsgezicht,1978/01/13,4.397,51.216,Antwerpen
Opgaande bruine beuk wassende voor de Sint-Willibrorduskerk,Beschermd cultuurhistorisch landschap,1949/02/18,4.420,51.193,Antwerpen
Kasteel Boekenberg: park,Beschermd cultuurhistorisch landschap,1974/01/23,4.463,51.198,Antwerpen
Oude Landen: fase 1,Beschermd cultuurhistorisch landschap,1980/02/13,4.424,51.270,Antwerpen
Oude Landen: fase 2,Beschermd cultuurhistorisch landschap,1987/12/27,4.430,51.274,Antwerpen
Dierentuin Antwerpen,Beschermd cultuurhistorisch landschap,1974/09/26,4.423,51.216,Antwerpen
Groot Buitenschoor - Galgeschoor,Beschermd cultuurhistorisch landschap,1987/06/09,4.256,51.348,Antwerpen
Hotel Della Faille de Leverghem met kruidtuin,Beschermd cultuurhistorisch landschap,1950/01/17,4.406,51.214,Antwerpen
Woningen: stadsbeeld,Beschermd cultuurhistorisch landschap,1973/11/26,4.414,51.218,Antwerpen
Hobokense Polder,Beschermd cultuurhistorisch landschap,1996/03/08,4.347,51.190,Antwerpen
Cantelmolinie,Beschermd cultuurhistorisch landschap,1991/11/18,3.354,51.319,Knokke-Heist
Het Zwin,Beschermd cultuurhistorisch landschap,1939/04/07,3.359,51.363,Knokke-Heist
Graaf Jansdijk: deel,Beschermd cultuurhistorisch landschap,1959/05/05,3.346,51.337,Knokke-Heist
Groenpleinduinen,Beschermd cultuurhistorisch landschap,1982/09/15,3.318,51.356,Knokke-Heist
Hazegraspolder,Beschermd cultuurhistorisch landschap,1982/01/28,3.354,51.346,Knokke-Heist
Zwinbosjes,Beschermd cultuurhistorisch landschap,1983/02/09,3.337,51.356,Knokke-Heist
Drie polderhoeven en kasseiweg,Beschermd stads- of dorpsgezicht,1980/10/06,3.352,51.341,Knokke-Heist
Graaf Jansdijk: deel met Kalfmolen,Beschermd stads- of dorpsgezicht,1995/05/29,3.315,51.339,Knokke-Heist
Parochiekerk Sint-Vincentius met ommegang,Beschermd stads- of dorpsgezicht,1985/10/30,3.250,51.315,Knokke-Heist
Landhuis met tuin,Beschermd stads- of dorpsgezicht,1995/10/18,3.240,51.338,Knokke-Heist
Parochiekerk Sint-Niklaas: omgeving,Beschermd stads- of dorpsgezicht,1996/07/04,3.303,51.314,Knokke-Heist
Windmolen Molen van Callant met omgeving,Beschermd stads- of dorpsgezicht,1999/06/10,3.252,51.313,Knokke-Heist
Engels klooster met omgeving,Beschermd stads- of dorpsgezicht,1982/09/22,3.234,51.216,Brugge
Dorpskom Dudzele,Beschermd stads- of dorpsgezicht,1979/08/21,3.229,51.275,Brugge
Hoeve Groot Eekhoute,Beschermd stads- of dorpsgezicht,1996/05/10,3.165,51.237,Brugge
Opgaande beukendreef bij domein De Bergskens,Beschermd cultuurhistorisch landschap,1959/05/05,3.255,51.190,Brugge
Wallen- en grachtencomplex,Beschermd cultuurhistorisch landschap,1976/09/13,3.278,51.186,Brugge
Kasteeldomein Leysselbeek,Beschermd stads- of dorpsgezicht,1982/11/10,3.222,51.176,Brugge
Kasteeldomein Rooigem: park,Beschermd stads- of dorpsgezicht,1994/07/14,3.265,51.217,Brugge
Dorpskom Koolkerke,Beschermd stads- of dorpsgezicht,1995/06/09,3.248,51.242,Brugge
Hoeve Groot Magdalenagoed met dreef en omheining,Beschermd stads- of dorpsgezicht,2004/10/15,3.201,51.165,Brugge
Vrouwengevangenis,Beschermd stads- of dorpsgezicht,1985/07/03,3.192,51.203,Brugge
Huis de Galeye,Beschermd stads- of dorpsgezicht,1991/12/16,3.224,51.210,Brugge
"Kasteeldomein Groene Poort: boomgaard, weiland en park",Beschermd stads- of dorpsgezicht,1981/02/02,3.234,51.235,Brugge
Kasteeldomein Tudor: park,Beschermd stads- of dorpsgezicht,1991/12/16,3.167,51.171,Brugge
Abdijsite Sint-Trudo,Beschermd stads- of dorpsgezicht,2003/01/20,3.243,51.185,Brugge
Hoeven De Groote Schuure en Fort van Beieren: omgeving,Beschermd stads- of dorpsgezicht,2013/04/19,3.249,51.235,Brugge
Dorpskom Sint-Pieters-op-den-Dijk,Beschermd stads- of dorpsgezicht,2013/03/13,3.205,51.229,Brugge
Fort van Beieren,Beschermd cultuurhistorisch landschap,1976/07/06,3.254,51.238,Brugge
Jezuïetencollege met omgeving,Beschermd stads- of dorpsgezicht,1995/06/09,3.230,51.211,Brugge
Gouverneurswoning Hotel Ruzette met koetshuis,Beschermd stads- of dorpsgezicht,1994/03/03,3.229,51.212,Brugge
Hoeve De Rozeblomme met omgeving,Beschermd stads- of dorpsgezicht,1978/01/13,3.208,51.271,Brugge
Samenstel van woningen,Beschermd stads- of dorpsgezicht,1999/07/08,3.232,51.192,Brugge
Samenstel van twee woonhuizen: tuin met omheiningsmuur,Beschermd stads- of dorpsgezicht,1994/07/14,3.233,51.206,Brugge
Parochiekerk Sint-Andries en Sint-Anna met kerkhof,Beschermd stads- of dorpsgezicht,2001/11/13,3.180,51.196,Brugge
Site Abdij Ter Doest,Beschermd cultuurhistorisch landschap,1981/09/23,3.204,51.281,Brugge
Herenhuis Hof de Gros met bijgebouwen en tuin,Beschermd stads- of dorpsgezicht,1979/03/28,3.221,51.211,Brugge
Veerhuis met aanlegplaats en omgeving,Beschermd stads- of dorpsgezicht,1980/09/10,3.229,51.199,Brugge
Dorpskom Assebroek,Beschermd stads- of dorpsgezicht,1978/11/28,3.275,51.188,Brugge
Gehucht Male,Beschermd stads- of dorpsgezicht,1996/07/04,3.289,51.209,Brugge
Classicistisch landhuis met tuin,Beschermd stads- of dorpsgezicht,2017/06/28,3.245,51.202,Brugge
"Spiegelrei, Gouden-Handrei en Sint-Annarei met omgeving",Beschermd stads- of dorpsgezicht,1992/06/17,3.229,51.212,Brugge
Neoclassicistisch herenhuis met tuin,Beschermd stads- of dorpsgezicht,1979/03/28,3.216,51.207,Brugge
Langerei en Potterierei met omgeving,Beschermd stads- of dorpsgezicht,2015/02/16,3.231,51.218,Brugge
Tuinbouwbedrijf Van Hollebeke met omgeving,Beschermd stads- of dorpsgezicht,2004/04/16,3.245,51.202,Brugge
Hoeve De Goudblomme met omgeving,Beschermd stads- of dorpsgezicht,1981/09/11,3.206,51.268,Brugge
"Klooster van de zusters redemptoristinnen: klooster, oranjerie en tuin",Beschermd stads- of dorpsgezicht,2010/06/03,3.228,51.202,Brugge
Minnewater en omgeving,Beschermd stads- of dorpsgezicht,1996/07/04,3.224,51.200,Brugge
Domein Engelendale,Beschermd stads- of dorpsgezicht,1995/11/10,3.276,51.194,Brugge
Begijnhof,Beschermd cultuurhistorisch landschap,1939/02/20,3.223,51.201,Brugge
Brugse geplantsoeneerde stadsomwalling,Beschermd stads- of dorpsgezicht,2016/01/20,3.222,51.206,Brugge
Groene Rei met omgeving,Beschermd stads- of dorpsgezicht,2017/12/15,3.230,51.209,Brugge
Stadswal met omgeving,Beschermd cultuurhistorisch landschap,1962/05/28,3.238,51.214,Brugge
Jachtopzienerswoning bij kasteel De Rode Poort: omgeving,Beschermd stads- of dorpsgezicht,1995/01/03,3.209,51.178,Brugge
Koninklijke hoofdgilde van Sint-Sebastiaan met omgeving,Beschermd cultuurhistorisch landschap,1958/09/20,3.237,51.215,Brugge
Markt en Burg met omgeving,Beschermd stads- of dorpsgezicht,2017/03/15,3.225,51.209,Brugge
"Vismarkt, Huidenvettersplein en Rozenhoedkaai met omgeving",Beschermd stads- of dorpsgezicht,2018/11/12,3.228,51.208,Brugge
Landhuizen met omgeving,Beschermd stads- of dorpsgezicht,1994/03/07,4.419,51.324,Kapellen
Oude Gracht Kapellen,Erfgoedlandschap,2018/07/05,4.462,51.324,Kapellen
Het Rood en omgeving,Beschermd cultuurhistorisch landschap,1999/06/01,4.407,51.325,Kapellen
Parochiekerk Sint-Jozef: omgeving,Beschermd cultuurhistorisch landschap,1976/06/23,4.461,51.316,Kapellen
"Parochiekerk Sint-Jacobus de Meerdere, pastorie en tuin",Beschermd stads- of dorpsgezicht,1982/07/14,4.427,51.316,Kapellen
Erfgoedlandschap Deel van ankerplaats Polders van Stabroek,Erfgoedlandschap,2013/06/17,4.372,51.315,Stabroek
Parochiekerk Onze-Lieve-Vrouw Geboorte met omgeving,Beschermd cultuurhistorisch landschap,1973/01/05,4.396,51.303,Stabroek
Kasteel Ravenhof met omgeving,Beschermd stads- of dorpsgezicht,1979/03/13,4.386,51.353,Stabroek
Pastorie Onze-Lieve-Vrouwparochie: omgeving,Beschermd cultuurhistorisch landschap,1976/09/13,4.282,51.222,Beveren
Dorpskom Melsele,Beschermd stads- of dorpsgezicht,1982/10/27,4.282,51.221,Beveren
Singelberg,Beschermd cultuurhistorisch landschap,1975/10/22,4.245,51.235,Beveren
Kreek De Grote Geule: fase 1,Beschermd cultuurhistorisch landschap,1978/01/26,4.169,51.282,Beveren
Kasteeldomein Hof ter Saksen: park,Beschermd cultuurhistorisch landschap,1989/11/09,4.239,51.199,Beveren
Sint-Engelbertusstraat,Beschermd stads- of dorpsgezicht,2013/02/27,4.214,51.327,Beveren
Herenhuis Hof ten Damme met tuin,Beschermd stads- of dorpsgezicht,1981/01/13,4.280,51.253,Beveren
