NAAM,TYPE_NAAM,GELD_START,LON,LAT,GEMEENTE
Vallei van de Dommel en Bollisserbeek,Beschermd cultuurhistorisch landschap,1987/12/29,5.429,51.154,Peer
Pastorie Sint-Ursulaparochie met tuin en kerkhof,Beschermd stads- of dorpsgezicht,1999/10/28,5.450,51.172,Peer
Hoeve Sannenhof: omgeving,Beschermd stads- of dorpsgezicht,2002/11/04,5.447,51.151,Peer
"Sigarenfabriek, directeurswoning, meesterwoning en omgeving",Beschermd stads- of dorpsgezicht,1994/09/01,5.405,51.130,Peer
Kapel Onze-Lieve-Vrouw-van-Rust en omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.483,51.123,Peer
Parochiekerk Sint-Trudo met omgeving,Beschermd stads- of dorpsgezicht,1983/03/02,5.505,51.153,Peer
Afspanning en stadshoeve De Scherpe Steen en omgeving,Beschermd stads- of dorpsgezicht,1981/10/01,5.454,51.133,Peer
Watermolen Genaamolen met omgeving,Beschermd stads- of dorpsgezicht,1993/10/26,5.589,51.163,Bree
Watermolen Pollismolen met omgeving,Beschermd stads- of dorpsgezicht,1994/12/28,5.635,51.115,Bree
Parochiekerk Onze-Lieve-Vrouw met kerkhof,Beschermd stads- of dorpsgezicht,1981/09/08,5.588,51.148,Bree
Kerkhof parochiekerk Sint-Trudo en pastorietuin,Beschermd stads- of dorpsgezicht,1997/09/23,5.646,51.118,Bree
Watermolen Keyartmolen met omgeving,Beschermd stads- of dorpsgezicht,1993/11/18,5.657,51.123,Bree
Watermolen Galdermansmolen: omgeving,Beschermd stads- of dorpsgezicht,1996/03/19,5.662,51.126,Bree
Kapel van Onze-Lieve-Vrouw van Zeven Weeën: omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.418,51.161,Hechtel-Eksel
Sint-Bernarduskapel van de Locht: omgeving,Beschermd stads- of dorpsgezicht,1999/12/16,5.366,51.141,Hechtel-Eksel
Kapel van Onze-Lieve-Vrouw van Lourdes: omgeving,Beschermd stads- of dorpsgezicht,2001/03/28,5.387,51.149,Hechtel-Eksel
Kapel van het Mussennest: omgeving,Beschermd stads- of dorpsgezicht,2001/03/28,5.406,51.145,Hechtel-Eksel
Malesbroek - Scherpenbergen,Beschermd cultuurhistorisch landschap,1985/11/29,5.034,51.142,Meerhout
Grote Hoeve en omgeving,Beschermd cultuurhistorisch landschap,1944/02/02,5.077,51.137,Meerhout
Parochiekerk Sint-Trudo: kerkhof,Beschermd cultuurhistorisch landschap,1976/06/11,5.079,51.131,Meerhout
Liefkenshoeve en omgeving,Beschermd stads- of dorpsgezicht,1978/06/16,5.065,51.119,Meerhout
Haanvense windmolen en omgeving,Beschermd stads- of dorpsgezicht,1981/05/20,5.053,51.117,Meerhout
"Parochiekerk Onze-Lieve-Vrouw, kerkhof en pastorie",Beschermd stads- of dorpsgezicht,2009/06/11,5.098,51.113,Meerhout
Burgerhuis De Zwarte Adelaar met tuin en omgeving van herenhuis Drossaart,Beschermd stads- of dorpsgezicht,1986/07/15,5.790,51.095,Maaseik
"Burgerhuizen, apotheek en stadshuis met omgeving",Beschermd stads- of dorpsgezicht,1986/07/25,5.792,51.095,Maaseik
Stadshoeve in Maasstijl met omgeving,Beschermd stads- of dorpsgezicht,1990/02/06,5.787,51.097,Maaseik
Burgerhuizen In den Prince van Luyck en De Stad Amsterdam,Beschermd stads- of dorpsgezicht,1985/11/25,5.791,51.095,Maaseik
Parochiekerk Sint-Lambertus: kerkhof,Beschermd stads- of dorpsgezicht,1998/02/13,5.705,51.088,Maaseik
Marktplein met dubbele rij lindebomen,Beschermd cultuurhistorisch landschap,1940/03/08,5.792,51.095,Maaseik
De Sloot,Beschermd cultuurhistorisch landschap,1974/03/18,5.798,51.081,Maaseik
Natuurgebied rond de Bosbeek,Beschermd cultuurhistorisch landschap,1985/03/28,5.735,51.092,Maaseik
Watermolen Kleeskensmolen met omgeving,Beschermd stads- of dorpsgezicht,1986/07/25,5.700,51.085,Maaseik
"Parochiekerk Sint-Dionysius, gedenktekens en burgerhuis met omgeving",Beschermd stads- of dorpsgezicht,1981/09/08,5.655,51.069,Maaseik
Watermolen Dorpermolen met omgeving,Beschermd stads- of dorpsgezicht,1981/09/08,5.654,51.068,Maaseik
Hoeve De Drie Marieën,Beschermd stads- of dorpsgezicht,1983/05/11,5.795,51.094,Maaseik
Stadscentrum Maaseik,Beschermd stads- of dorpsgezicht,1991/12/16,5.791,51.094,Maaseik
Watermolen Langerenmolen met omgeving,Beschermd stads- of dorpsgezicht,1987/01/21,5.718,51.087,Maaseik
Watermolen Neermolen met omgeving,Beschermd stads- of dorpsgezicht,1988/06/02,5.707,51.089,Maaseik
Watermolen Leverenmolen: molenaarswoning en omgeving,Beschermd stads- of dorpsgezicht,1993/10/20,5.682,51.081,Maaseik
Watermolen Volmolen met omgeving,Beschermd stads- of dorpsgezicht,1993/11/18,5.673,51.077,Maaseik
Molensite Wurfeldermolen,Beschermd stads- of dorpsgezicht,1993/12/16,5.758,51.093,Maaseik
Sint-Harlindis en Relindiskapel en Sint-Willibrordusput: omgeving,Beschermd stads- of dorpsgezicht,2000/12/08,5.805,51.101,Maaseik
Langgestrekte hoeve: landelijke omgeving met kasseiweg en wegkapel,Beschermd stads- of dorpsgezicht,2005/05/12,5.236,51.089,Beringen
Sint-Antoniuskapel van 1680,Beschermd stads- of dorpsgezicht,1993/07/06,5.248,51.089,Beringen
Kapel van Broekhoven,Beschermd cultuurhistorisch landschap,1976/08/10,5.227,51.044,Beringen
Watermolen Stalse Molen: omgeving,Beschermd stads- of dorpsgezicht,1994/12/28,5.246,51.064,Beringen
Parochiaal complex Sint-Theodardus: omgeving,Beschermd stads- of dorpsgezicht,1985/01/24,5.221,51.076,Beringen
Kolenhaven,Beschermd stads- of dorpsgezicht,1993/12/22,5.196,51.069,Beringen
Kioskplein en directeurswoning met omgevend park,Beschermd stads- of dorpsgezicht,1981/09/08,5.219,51.070,Beringen
Koerselse Heide en vallei van de Zwarte Beek,Beschermd cultuurhistorisch landschap,1987/03/30,5.312,51.088,Beringen
Pastorie Sint-Martinusparochie: omgeving,Beschermd stads- of dorpsgezicht,1996/07/08,5.373,51.029,Houthalen-Helchteren
Hoeve Claes en omgeving,Beschermd stads- of dorpsgezicht,1997/02/17,5.349,51.043,Houthalen-Helchteren
Kasteel Ter Dolen: omgeving,Beschermd cultuurhistorisch landschap,1982/06/30,5.391,51.065,Houthalen-Helchteren
Laambeekvallei,Erfgoedlandschap,2018/07/04,5.460,51.007,Houthalen-Helchteren
Windmolen De Hoop met omgeving,Beschermd stads- of dorpsgezicht,1978/02/21,5.767,51.072,Dilsen-Stokkem
Hoeve De Licht met omgeving,Beschermd stads- of dorpsgezicht,1979/10/16,5.716,51.040,Dilsen-Stokkem
Windmolen De Wachter met omgeving,Beschermd stads- of dorpsgezicht,1982/04/19,5.725,51.039,Dilsen-Stokkem
Gemeentehuis Rotem en onderwijzerswoning,Beschermd stads- of dorpsgezicht,1990/02/09,5.736,51.052,Dilsen-Stokkem
Dorpskern Elen,Beschermd stads- of dorpsgezicht,2004/02/12,5.759,51.066,Dilsen-Stokkem
Wijk Tivoli,Beschermd stads- of dorpsgezicht,2004/04/30,5.718,51.020,Dilsen-Stokkem
Afspanning en paardenstal,Beschermd stads- of dorpsgezicht,2004/04/30,5.720,51.020,Dilsen-Stokkem
Erfgoedlandschap Elerweerd,Erfgoedlandschap,2018/03/19,5.757,51.059,Dilsen-Stokkem
Oude dorpskern Dilsen,Beschermd stads- of dorpsgezicht,1992/12/14,5.736,51.033,Dilsen-Stokkem
Parochiekerk Sint-Lucia met kerkhof,Beschermd stads- of dorpsgezicht,1985/11/06,5.044,51.030,Tessenderlo
Windmolen Schaliënmolen met omgeving,Beschermd stads- of dorpsgezicht,1981/10/23,5.022,51.024,Tessenderlo
Kerkhoeve met tiendschuur en omgeving,Beschermd stads- of dorpsgezicht,1983/03/02,5.070,51.069,Tessenderlo
Galgenberg,Beschermd cultuurhistorisch landschap,1984/06/22,5.331,51.048,Heusden-Zolder
Domein van Terlamen en Bolderberg,Beschermd cultuurhistorisch landschap,1987/02/09,5.277,50.999,Heusden-Zolder
Parochiekerk Sint-Vincentius: kerkhof,Beschermd stads- of dorpsgezicht,1996/08/05,5.314,51.023,Heusden-Zolder
Witherenpastorie Woutershof met omgeving,Beschermd stads- of dorpsgezicht,1985/11/06,5.322,51.026,Heusden-Zolder
Domein van Obbeek: omgeving,Beschermd stads- of dorpsgezicht,2004/06/11,5.261,51.022,Heusden-Zolder
Sociale woonwijk Mariëndaalplaats,Beschermd stads- of dorpsgezicht,2003/12/04,5.055,50.982,Diest
Begijnhof: gebouwencomplex met omgeving,Beschermd cultuurhistorisch landschap,1939/02/20,5.061,50.987,Diest
Graanmarkt en Henri Verstappenplein,Beschermd stads- of dorpsgezicht,2003/12/04,5.055,50.984,Diest
Watermolen Ezeldijkmolen: omgeving,Beschermd stads- of dorpsgezicht,2003/12/04,5.057,50.989,Diest
Bogaardenklooster: site,Beschermd stads- of dorpsgezicht,2003/12/04,5.057,50.988,Diest
Grote Markt en omgeving,Beschermd stads- of dorpsgezicht,2003/12/04,5.051,50.985,Diest
Sint-Elisabethgasthuis met omgeving,Beschermd stads- of dorpsgezicht,1986/10/13,5.052,50.986,Diest
Erfgoedlandschap Citadel,Erfgoedlandschap,2015/11/20,5.044,50.983,Diest
Ensemble Demerstraat en Refugiestraat,Beschermd stads- of dorpsgezicht,2003/12/04,5.049,50.987,Diest
